"Ref","SpID","Grupo.taxon√≥mico","Familia","Genero.x","Especie.x","Habito","Origen","Regiones_Biogeograficas","Elevacion_Minima","Elevacion_Maxima","Comestible_humano","Alimento_animal","Artesanal","Cultural","Forraje","Medicinal","Ornamental","Toxico","Construccion","Combustible","Ecologico","Fijador_de_N2","Proteccion_suelos","Proteccion_agua","Cerca_viva","Industrial","TÌtulo","Region","Cita"
1,202,"Rosidas","ANACARDIACEAE","Mangifera","Mangifera indica","√å¬Årbol","Cultivada","Amazonia  Andes  Islas Caribenas  Llanura del Caribe  Pacifico  Valle del Magdalena","0m","2850m",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"ATLAS DE LAS PLANTAS MEDICINALES","Todas",NA
1,6459,"Rosidas","MELIACEAE","Azadirachta","Azadirachta indica","Arbusto  Arbolito","Cultivada","Amazonia  Andes  Llanura del Caribe  Valle del Magdalena","200m","1300m",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"ATLAS DE LAS PLANTAS MEDICINALES","Todas",NA
1,6557,"Rosidas","MORACEAE","Artocarpus","Artocarpus heterophyllus","√å¬Årbol","Cultivada","Andes","1450m","1500m",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"ATLAS DE LAS PLANTAS MEDICINALES","Todas",NA
1,506,"Asteridas","APOCYNACEAE","Cascabela","Cascabela thevetia","Subarbusto  Arbolito  √å¬Årbol","Cultivada","Andes  Islas Caribenas  Llanura del Caribe  Pacifico  Valle del Cauca  Valle del Magdalena","0m","1500m",0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,"ATLAS DE LAS PLANTAS MEDICINALES","Todas",NA
1,818,"Monocotiledoneas","ARECACEAE","Aiphanes","Aiphanes horrida","√å¬Årbol  Palma solitaria","Nativa y cultivada","Andes  Orinoquia  Valle del Cauca  Valle del Magdalena","100m","1700m",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"ATLAS DE LAS PLANTAS MEDICINALES","Todas",NA
1,7496,"Magnolidae","PIPERACEAE","Piper","Piper reticulatum","Arbusto  √å¬Årbol","Nativa","Amazonia  Andes  Llanura del Caribe  Pacifico  Valle del Magdalena","0m","1150m",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"ATLAS DE LAS PLANTAS MEDICINALES","Todas",NA
1,499,"Asteridas","APOCYNACEAE","Aspidosperma","Aspidosperma polyneuron","Arbolito  √å¬Årbol","Nativa","Llanura del Caribe  Valle del Magdalena","50m","350m",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"ATLAS DE LAS PLANTAS MEDICINALES","Todas",NA
1,3324,"Rosidas","EUPHORBIACEAE","Hevea","Hevea brasiliensis","√å¬Årbol","Nativa","Amazonia  Pacifico","100m","400m",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"ATLAS DE LAS PLANTAS MEDICINALES","Todas",NA
1,3814,"Rosidas","FABACEAE","Libidibia","Libidibia coriaria","Arbusto  √å¬Årbol","Nativa","Llanura del Caribe  Orinoquia","0m","350m",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"ATLAS DE LAS PLANTAS MEDICINALES","Todas",NA
1,8228,"Asteridas","RUBIACEAE","Hamelia","Hamelia patens","Arbusto  Arbolito  √å¬Årbol","Nativa","Amazonia  Andes  Guayana y Serrania de La Macarena  Islas Caribenas  Llanura del Caribe  Orinoquia  Pacifico  Valle del Cauca  Valle del Magdalena","0m","3700m",1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"ATLAS DE LAS PLANTAS MEDICINALES","Todas",NA
1,8053,"Asteridas","RUBIACEAE","Ciliosemina","Ciliosemina purdieana","Arbolito  √å¬Årbol","Nativa","Valle del Magdalena","80m","700m",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"ATLAS DE LAS PLANTAS MEDICINALES","Todas",NA
1,6608,"Rosidas","MORACEAE","Ficus","Ficus lyrata","√å¬Årbol","Cultivada","Andes  Valle del Cauca  Valle del Magdalena","100m","1550m",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"ATLAS DE LAS PLANTAS MEDICINALES","Todas",NA
1,5434,"Rosidas","MALVACEAE","Ochroma","Ochroma pyramidale","√å¬Årbol","Nativa","Amazonia  Andes  Guayana y Serrania de La Macarena  Islas Caribenas  Llanura del Caribe  Orinoquia  Pacifico  Sierra Nevada de Santa Marta  Valle del Cauca  Valle del Magdalena","0m","1800m",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"ATLAS DE LAS PLANTAS MEDICINALES","Todas",NA
1,3153,"Rosidas","ERYTHROXYLACEAE","Erythroxylum","Erythroxylum novogranatense","Arbusto  Arbolito","Nativa y cultivada","Amazonia  Andes  Llanura del Caribe  Sierra Nevada de Santa Marta  Valle del Cauca  Valle del Magdalena","265m","2000m",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"ATLAS DE LAS PLANTAS MEDICINALES","Todas",NA
1,6507,"Rosidas","MELIACEAE","Swietenia","Swietenia macrophylla","√å¬Årbol","Nativa y cultivada","Pacifico  Valle del Magdalena","200m","500m",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"ATLAS DE LAS PLANTAS MEDICINALES","Todas",NA
1,4625,"Asteridas","LAMIACEAE","Holmskioldia","Holmskioldia sanguinea","Arbusto  Trepadora","Cultivada","Andes","1500m","1920m",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"ATLAS DE LAS PLANTAS MEDICINALES","Todas",NA
1,6921,"Rosidas","MYRTACEAE","Psidium","Psidium guajava","Arbolito","Cultivada","Amazonia  Andes  Llanura del Caribe  Orinoquia  Pacifico  Valle del Cauca  Valle del Magdalena","50m","2040m",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"ATLAS DE LAS PLANTAS MEDICINALES","Todas",NA
1,9925,"Rosidas","URTICACEAE","Urera","Urera caracasana","Hierba  Arbusto  Arbolito  √å¬Årbol","Nativa","Amazonia  Andes  Guayana y Serrania de La Macarena  Llanura del Caribe  Orinoquia  Pacifico  Valle del Cauca  Valle del Magdalena","20m","2290m",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"ATLAS DE LAS PLANTAS MEDICINALES","Todas",NA
1,4090,"Rosidas","FABACEAE","Senna","Senna spectabilis","Arbolito  √å¬Årbol","Nativa","Andes  Valle del Cauca  Valle del Magdalena","160m","1800m",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"ATLAS DE LAS PLANTAS MEDICINALES","Todas",NA
1,507,"Asteridas","APOCYNACEAE","Catharanthus","Catharanthus roseus","Hierba  Arbusto","Cultivada","Andes  Islas Caribenas  Llanura del Caribe  Pacifico  Valle del Cauca  Valle del Magdalena","100m","2000m",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,"ATLAS DE LAS PLANTAS MEDICINALES","Todas",NA
1,6582,"Rosidas","MORACEAE","Ficus","Ficus benjamina","√å¬Årbol","Cultivada","Andes  Valle del Cauca  Valle del Magdalena","0m","1550m",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,"ATLAS DE LAS PLANTAS MEDICINALES","Todas",NA
1,3331,"Rosidas","EUPHORBIACEAE","Hura","Hura crepitans","√å¬Årbol","Nativa","Amazonia  Andes  Llanura del Caribe  Orinoquia  Pacifico","0m","1550m",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"ATLAS DE LAS PLANTAS MEDICINALES","Todas",NA
